seed,split,row_index
42,test,3999
42,test,4013
42,test,4036
42,test,4040
42,test,4078
42,test,4084
42,test,4107
42,test,4114
42,test,4137
42,test,4180
42,test,4182
42,test,4219
42,test,4223
42,test,4231
42,test,4234
42,test,4245
42,test,4258
42,test,4268
42,test,4273
42,test,4316
42,test,4324
42,test,4328
42,test,4335
42,test,4361
42,test,4375
42,test,4392
42,test,4401
42,test,4408
42,test,4409
42,test,4411
42,test,4414
42,test,4428
42,test,4463
42,test,4470
42,test,4494
42,test,4502
42,test,4503
42,test,4511
42,test,4519
42,test,4549
42,test,4565
42,test,4566
42,test,4571
42,test,4582
42,test,4586
42,test,4612
42,test,4627
42,test,4643
42,test,4657
42,test,4666
42,test,4673
42,test,4677
42,test,4680
42,test,4692
42,test,4693
42,test,4700
42,test,4715
42,test,4722
42,test,4739
42,test,4742
42,test,4747
42,test,4794
42,test,4800
42,test,4812
42,test,4819
42,test,4824
42,test,4829
42,test,4846
42,test,4848
42,test,4861
42,test,4878
42,test,4898
42,test,4902
42,test,4914
42,test,4925
42,test,4937
42,test,4939
42,test,4954
42,test,4965
42,test,4972
42,test,4985
42,test,5031
42,test,5054
42,test,5067
42,test,5070
42,test,5080
42,test,5097
42,test,5134
42,test,5151
42,test,5174
42,test,5214
42,test,5232
42,test,5235
42,test,5239
42,test,5246
42,test,5258
42,test,5276
42,test,5283
42,test,5288
42,test,5297
42,test,5323
42,test,5331
42,test,5338
42,test,5347
42,test,5353
42,test,5376
42,test,5377
42,test,5381
42,test,5383
42,test,5385
42,test,5399
42,test,5403
42,test,5409
42,test,5410
42,test,5412
42,test,5417
42,test,5431
42,test,5435
42,test,5447
42,test,5449
42,test,5452
42,test,5486
42,test,5488
42,test,5512
42,test,5521
42,test,5527
42,test,5536
42,test,5542
42,test,5546
42,test,5567
42,test,5578
42,test,5594
42,test,5600
42,test,5641
42,test,5650
42,test,5681
42,test,5687
42,test,5690
42,test,5691
42,test,5700
42,test,5709
42,test,5713
42,test,5715
42,test,5720
42,test,5721
42,test,5739
42,test,5753
42,test,5760
42,test,5771
42,test,5829
42,test,5838
42,test,5842
42,test,5845
42,test,5857
42,test,5869
42,test,5878
42,test,5920
42,test,5924
42,test,5925
42,test,5929
42,test,5955
42,test,5994
42,test,6002
42,test,6036
42,test,6043
42,test,6051
42,test,6053
42,test,6061
42,test,6111
42,test,6145
42,test,6164
42,test,6172
42,test,6174
42,test,6175
42,test,6182
42,test,6183
42,test,6193
42,test,6197
42,test,6205
42,test,6219
42,test,6231
42,test,6249
42,test,6251
42,test,6269
42,test,6270
42,test,6272
42,test,6289
42,test,6308
42,test,6312
42,test,6317
42,test,6354
42,test,6358
42,test,6370
42,test,6373
42,test,6410
