seed,split,row_index
42,test,1741
42,test,1746
42,test,1757
42,test,1760
42,test,1761
42,test,1762
42,test,1763
42,test,1764
42,test,1766
42,test,1776
42,test,1782
42,test,1783
42,test,1785
42,test,1789
42,test,1790
42,test,1795
42,test,1812
42,test,1815
42,test,1827
42,test,1828
42,test,1831
42,test,1841
42,test,1843
42,test,1849
42,test,1850
42,test,1853
42,test,1860
42,test,1865
42,test,1874
42,test,1875
42,test,1879
42,test,1885
42,test,1887
42,test,1892
42,test,1894
42,test,1910
42,test,1913
42,test,1915
42,test,1916
42,test,1924
42,test,1925
42,test,1935
42,test,1939
42,test,1943
42,test,1947
42,test,1949
42,test,1956
42,test,1957
42,test,1960
42,test,1970
42,test,1975
42,test,1987
42,test,2022
42,test,2024
42,test,2025
42,test,2026
42,test,2029
42,test,2036
42,test,2038
42,test,2040
42,test,2041
42,test,2049
42,test,2053
42,test,2065
42,test,2079
42,test,2101
42,test,2102
42,test,2106
42,test,2115
42,test,2142
42,test,2143
42,test,2146
42,test,2152
42,test,2164
42,test,2165
42,test,2167
42,test,2171
42,test,2189
42,test,2191
42,test,2207
42,test,2227
42,test,2255
42,test,2259
42,test,2265
42,test,2268
42,test,2273
42,test,2275
42,test,2280
42,test,2282
42,test,2294
42,test,2305
42,test,2309
42,test,2317
42,test,2331
42,test,2334
42,test,2350
42,test,2352
42,test,2362
42,test,2363
42,test,2370
42,test,2371
42,test,2373
42,test,2376
42,test,2380
42,test,2383
42,test,2385
42,test,2387
42,test,2389
42,test,2391
42,test,2394
42,test,2396
42,test,2401
42,test,2405
42,test,2416
42,test,2418
42,test,2446
42,test,2459
42,test,2476
42,test,2480
42,test,2487
42,test,2498
42,test,2502
42,test,2508
42,test,2513
42,test,2516
42,test,2517
42,test,2518
42,test,2527
42,test,2528
42,test,2534
42,test,2535
42,test,2550
42,test,2561
42,test,2563
42,test,2564
42,test,2566
42,test,2579
42,test,2591
42,test,2592
42,test,2595
42,test,2603
42,test,2609
42,test,2610
42,test,2612
42,test,2614
42,test,2616
42,test,2627
42,test,2633
42,test,2634
42,test,2637
42,test,2639
42,test,2641
42,test,2644
42,test,2646
42,test,2647
42,test,2651
42,test,2658
42,test,2660
42,test,2680
42,test,2683
42,test,2691
42,test,2696
42,test,2701
42,test,2708
42,test,2727
42,test,2731
42,test,2736
42,test,2738
42,test,2743
42,test,2746
42,test,2767
42,test,2774
42,test,2778
42,test,2784
42,test,2787
42,test,2799
42,test,2800
42,test,2805
42,test,2820
42,test,2823
42,test,2826
42,test,2832
42,test,2834
42,test,2854
42,test,2859
42,test,2865
42,test,2876
42,test,2880
42,test,2884
42,test,2888
42,test,2907
42,test,2914
42,test,2920
42,test,2923
42,test,2925
42,test,2936
42,test,2939
42,test,2950
42,test,2956
42,test,2959
42,test,2962
42,test,2969
42,test,2978
42,test,2979
42,test,2993
42,test,2994
42,test,3008
42,test,3014
42,test,3017
42,test,3022
42,test,3026
42,test,3030
42,test,3040
42,test,3041
42,test,3044
42,test,3046
42,test,3062
42,test,3064
42,test,3071
42,test,3074
42,test,3075
42,test,3086
42,test,3098
42,test,3104
42,test,3116
42,test,3119
42,test,3122
42,test,3124
42,test,3126
42,test,3128
42,test,3134
42,test,3136
42,test,3142
42,test,3147
42,test,3148
42,test,3149
42,test,3159
42,test,3172
42,test,3194
42,test,3195
42,test,3197
42,test,3214
42,test,3215
42,test,3221
42,test,3224
42,test,3232
42,test,3234
42,test,3239
42,test,3240
42,test,3243
42,test,3247
42,test,3250
42,test,3259
42,test,3260
42,test,3262
42,test,3265
42,test,3273
42,test,3276
42,test,3284
42,test,3299
42,test,3303
42,test,3306
42,test,3315
42,test,3319
42,test,3325
42,test,3327
42,test,3335
42,test,3337
42,test,3339
42,test,3346
42,test,3348
42,test,3352
42,test,3354
42,test,3363
42,test,3365
42,test,3369
42,test,3370
42,test,3376
42,test,3380
42,test,3385
42,test,3388
42,test,3394
42,test,3395
42,test,3398
42,test,3401
42,test,3409
42,test,3417
42,test,3418
42,test,3419
42,test,3429
42,test,3437
42,test,3440
42,test,3442
42,test,3451
42,test,3457
42,test,3476
42,test,3478
42,test,3492
42,test,3497
42,test,3498
42,test,3503
42,test,3521
42,test,3541
42,test,3542
42,test,3552
42,test,3555
42,test,3562
42,test,3567
42,test,3571
42,test,3580
42,test,3583
42,test,3585
42,test,3587
42,test,3592
42,test,3612
42,test,3617
42,test,3634
42,test,3639
42,test,3651
42,test,3652
42,test,3657
42,test,3659
42,test,3666
42,test,3669
42,test,3675
42,test,3680
42,test,3689
42,test,3703
42,test,3712
42,test,3730
42,test,3738
42,test,3739
42,test,3742
42,test,3749
42,test,3750
42,test,3753
42,test,3765
42,test,3767
42,test,3780
42,test,3783
42,test,3787
42,test,3790
42,test,3793
42,test,3799
42,test,3810
42,test,3812
42,test,3814
42,test,3815
42,test,3817
42,test,3824
42,test,3826
42,test,3840
42,test,3852
42,test,3860
42,test,3866
42,test,3871
42,test,3873
42,test,3875
42,test,3881
42,test,3891
42,test,3898
42,test,3908
42,test,3923
42,test,3927
42,test,3931
42,test,3939
42,test,3941
42,test,3949
42,test,3950
42,test,3951
42,test,3957
42,test,3960
42,test,3962
42,test,3964
42,test,3970
42,test,3984
42,test,4007
42,test,4021
42,test,4045
42,test,4047
42,test,4048
42,test,4056
42,test,4061
42,test,4065
42,test,4068
42,test,4078
42,test,4087
42,test,4091
42,test,4094
42,test,4100
42,test,4102
42,test,4107
42,test,4108
42,test,4109
42,test,4123
42,test,4126
42,test,4138
42,test,4145
42,test,4152
42,test,4161
42,test,4163
42,test,4165
42,test,4170
42,test,4175
42,test,4180
42,test,4204
42,test,4206
42,test,4212
42,test,4217
42,test,4236
42,test,4237
42,test,4238
42,test,4241
42,test,4250
42,test,4253
42,test,4254
42,test,4269
42,test,4295
42,test,4298
42,test,4303
42,test,4308
42,test,4327
42,test,4346
42,test,4349
42,test,4359
42,test,4362
42,test,4365
42,test,4367
42,test,4384
42,test,4393
42,test,4402
42,test,4405
42,test,4408
42,test,4437
42,test,4439
42,test,4440
42,test,4444
42,test,4448
42,test,4458
42,test,4459
42,test,4467
42,test,4493
42,test,4502
42,test,4503
42,test,4506
42,test,4509
42,test,4511
42,test,4516
42,test,4522
42,test,4525
42,test,4527
42,test,4541
42,test,4544
42,test,4546
42,test,4549
42,test,4553
42,test,4554
42,test,4557
42,test,4562
42,test,4565
42,test,4579
42,test,4589
42,test,4590
42,test,4591
42,test,4594
42,test,4599
42,test,4605
42,test,4610
42,test,4613
42,test,4616
42,test,4633
42,test,4636
42,test,4644
42,test,4646
42,test,4647
42,test,4651
42,test,4664
42,test,4665
42,test,4666
42,test,4667
42,test,4669
42,test,4691
42,test,4728
42,test,4741
42,test,4746
42,test,4758
42,test,4760
42,test,4761
42,test,4765
42,test,4776
42,test,4809
42,test,4821
42,test,4828
42,test,4833
42,test,4838
42,test,4843
42,test,4849
42,test,4850
42,test,4857
42,test,4861
42,test,4887
42,test,4888
42,test,4897
42,test,4910
42,test,4911
42,test,4920
42,test,4921
42,test,4925
42,test,4943
42,test,4959
42,test,4965
42,test,4969
42,test,4975
42,test,4980
42,test,4991
42,test,4993
42,test,4997
42,test,4998
42,test,5011
42,test,5014
42,test,5018
42,test,5034
42,test,5038
42,test,5040
42,test,5043
42,test,5054
42,test,5057
42,test,5058
42,test,5064
42,test,5073
42,test,5074
42,test,5077
42,test,5079
42,test,5086
42,test,5087
42,test,5091
42,test,5099
42,test,5109
42,test,5112
42,test,5122
42,test,5125
42,test,5135
42,test,5136
42,test,5141
42,test,5142
42,test,5146
42,test,5147
42,test,5150
42,test,5153
42,test,5156
42,test,5160
42,test,5162
42,test,5188
42,test,5199
42,test,5203
42,test,5211
42,test,5214
42,test,5218
42,test,5222
42,test,5224
42,test,5244
42,test,5248
42,test,5260
42,test,5273
42,test,5290
42,test,5308
42,test,5311
42,test,5315
42,test,5316
42,test,5328
42,test,5334
42,test,5336
42,test,5338
42,test,5347
42,test,5348
42,test,5354
42,test,5359
42,test,5376
42,test,5378
42,test,5381
42,test,5388
42,test,5400
42,test,5407
42,test,5408
42,test,5410
42,test,5412
42,test,5421
42,test,5424
42,test,5438
42,test,5454
42,test,5463
42,test,5482
42,test,5486
42,test,5507
42,test,5515
42,test,5528
42,test,5538
42,test,5539
42,test,5552
42,test,5561
42,test,5564
42,test,5583
42,test,5587
42,test,5590
42,test,5592
42,test,5596
42,test,5604
42,test,5608
42,test,5616
42,test,5617
42,test,5624
42,test,5625
42,test,5630
42,test,5640
42,test,5642
42,test,5646
42,test,5660
42,test,5673
42,test,5676
42,test,5677
42,test,5681
42,test,5685
42,test,5688
42,test,5691
42,test,5717
42,test,5721
42,test,5727
42,test,5731
42,test,5739
42,test,5740
42,test,5748
42,test,5760
42,test,5765
42,test,5777
42,test,5788
42,test,5801
42,test,5803
42,test,5815
42,test,5823
42,test,5824
42,test,5827
42,test,5829
42,test,5847
42,test,5850
42,test,5853
42,test,5855
42,test,5860
42,test,5890
42,test,5891
42,test,5893
42,test,5898
42,test,5922
42,test,5925
42,test,5931
42,test,5948
42,test,5949
42,test,5955
42,test,5957
42,test,5975
42,test,5980
42,test,5988
42,test,5991
42,test,6004
42,test,6008
42,test,6009
42,test,6015
42,test,6019
42,test,6025
42,test,6033
42,test,6034
42,test,6035
42,test,6038
42,test,6044
42,test,6059
42,test,6067
42,test,6074
42,test,6082
42,test,6087
42,test,6088
42,test,6092
42,test,6094
42,test,6095
42,test,6098
42,test,6103
42,test,6109
42,test,6122
42,test,6139
42,test,6156
42,test,6158
42,test,6162
42,test,6172
42,test,6173
42,test,6188
42,test,6192
42,test,6196
42,test,6202
42,test,6204
42,test,6215
42,test,6217
42,test,6220
42,test,6224
42,test,6242
42,test,6251
42,test,6263
42,test,6273
42,test,6295
42,test,6296
42,test,6308
42,test,6313
42,test,6315
42,test,6316
42,test,6323
42,test,6332
42,test,6348
42,test,6351
42,test,6367
42,test,6372
42,test,6375
42,test,6377
42,test,6382
42,test,6389
42,test,6397
42,test,6408
