asin,review_count,fake_count,real_count,fake_rate
B01MRX18Y5,13,3,10,0.23076923076923078
B0778G25S7,13,3,10,0.23076923076923078
B006WZD7FW,13,2,11,0.15384615384615385
B00JFDBHQE,13,2,11,0.15384615384615385
B07Z3YZ65X,13,2,11,0.15384615384615385
B087CPVVHN,13,2,11,0.15384615384615385
B07V2RWFR3,13,1,12,0.07692307692307693
B00OS9YWJY,12,12,0,1.0
B014DH4FTC,12,12,0,1.0
B01GS8J18E,12,10,2,0.8333333333333334
B01IG41ZG4,12,9,3,0.75
B000PKNPES,12,8,4,0.6666666666666666
B09NMDKNDS,12,7,5,0.5833333333333334
B005NG7IY2,12,6,6,0.5
B00HJ6Q82C,12,6,6,0.5
B00T417IFQ,12,6,6,0.5
B01CDEJ1H8,12,6,6,0.5
B01DYXQQBQ,12,6,6,0.5
B07GRD8MMJ,12,6,6,0.5
B07Q4PXHZ8,12,6,6,0.5
B08HDFYXY1,12,6,6,0.5
B012O3DU7U,12,5,7,0.4166666666666667
B01M7RAAI4,12,5,7,0.4166666666666667
B071GQNN4G,12,5,7,0.4166666666666667
B07X5MHRCZ,12,5,7,0.4166666666666667
B09NMGB5H9,12,5,7,0.4166666666666667
B0007KX8FW,12,4,8,0.3333333333333333
B0042T0HLM,12,4,8,0.3333333333333333
B00TNREDHW,12,4,8,0.3333333333333333
B01HC6G4D6,12,4,8,0.3333333333333333
B07KDYT8XY,12,4,8,0.3333333333333333
B000GBID0M,12,3,9,0.25
B00DPNKBOE,12,3,9,0.25
B00V913AXS,12,3,9,0.25
B01850QOWE,12,3,9,0.25
B01EKSKUL6,12,3,9,0.25
B01FF3V870,12,3,9,0.25
B01N9LC44Q,12,3,9,0.25
B07VBDQY2F,12,3,9,0.25
B08C9T688H,12,3,9,0.25
B00AJOJ0GW,12,2,10,0.16666666666666666
B01M07K8SL,12,2,10,0.16666666666666666
B07WMNY8FQ,12,1,11,0.08333333333333333
B01BIDW19K,11,8,3,0.7272727272727273
B0001HYJW2,11,7,4,0.6363636363636364
B00H4BZM9M,11,7,4,0.6363636363636364
B01GL4HV64,11,7,4,0.6363636363636364
B07M5HB65T,11,7,4,0.6363636363636364
B08DLHNTW4,11,7,4,0.6363636363636364
B000050FDE,11,6,5,0.5454545454545454
B000REIM1S,11,6,5,0.5454545454545454
B01CE23EEA,11,6,5,0.5454545454545454
B08229K7VC,11,6,5,0.5454545454545454
B004SBJBNO,11,5,6,0.45454545454545453
B00BMW24TU,11,5,6,0.45454545454545453
B00EKT69A2,11,5,6,0.45454545454545453
B00ZLOVU6I,11,5,6,0.45454545454545453
B01695MZ9S,11,5,6,0.45454545454545453
B01I2I9NG8,11,5,6,0.45454545454545453
B01N2VTZCC,11,5,6,0.45454545454545453
B07N2MC5PG,11,5,6,0.45454545454545453
B085T35K5K,11,5,6,0.45454545454545453
B08PF6CHBT,11,5,6,0.45454545454545453
B000BOZ8UM,11,4,7,0.36363636363636365
B000NIZYIW,11,4,7,0.36363636363636365
B0010VSH3K,11,4,7,0.36363636363636365
B004PZXJUO,11,4,7,0.36363636363636365
B007IAM4YU,11,4,7,0.36363636363636365
B015GJJXZC,11,4,7,0.36363636363636365
B01F99RQQW,11,4,7,0.36363636363636365
B072KGXRV4,11,4,7,0.36363636363636365
B074P4NNS2,11,4,7,0.36363636363636365
B0797Q1D4B,11,4,7,0.36363636363636365
B07H8Z3SMK,11,4,7,0.36363636363636365
B07MMWXPLJ,11,4,7,0.36363636363636365
B07N38K4RW,11,4,7,0.36363636363636365
B0BF9TRWV1,11,4,7,0.36363636363636365
B008JHO4E4,11,3,8,0.2727272727272727
B00RPOQMEC,11,3,8,0.2727272727272727
B010SZWNP6,11,3,8,0.2727272727272727
B01AR19RZU,11,3,8,0.2727272727272727
B07MC84KMN,11,3,8,0.2727272727272727
B07XJW8Y8G,11,3,8,0.2727272727272727
B08177224S,11,3,8,0.2727272727272727
B08DKHNY8W,11,3,8,0.2727272727272727
B074TCHT5B,11,2,9,0.18181818181818182
B07FKGGLCW,11,2,9,0.18181818181818182
B07MBHXMPL,11,2,9,0.18181818181818182
B08QZ2B4FM,11,2,9,0.18181818181818182
B09B9NYX77,11,2,9,0.18181818181818182
B01D2IXB20,10,9,1,0.9
B00J2D80W6,10,8,2,0.8
B00KXFD75M,10,8,2,0.8
B01LWUFWX5,10,7,3,0.7
B00CUF29WU,10,6,4,0.6
B00M7BX86S,10,6,4,0.6
B00V8ZCT1Y,10,6,4,0.6
B00ZPQTVSQ,10,6,4,0.6
B01K86X4HG,10,6,4,0.6
B07BL5QC95,10,6,4,0.6
B000NJJFBI,10,5,5,0.5
B00NF8GDP0,10,5,5,0.5
B017XD9GP6,10,5,5,0.5
B01GX3DTFU,10,5,5,0.5
B01MTKLSFV,10,5,5,0.5
B077KQRS49,10,5,5,0.5
B08RY6S25W,10,5,5,0.5
B001UZ31SC,10,4,6,0.4
B00NC550DW,10,4,6,0.4
B0149YNDP6,10,4,6,0.4
B01KXDO4YG,10,4,6,0.4
B01N7P32PN,10,4,6,0.4
B06XZJTCYW,10,4,6,0.4
B07CZ5DD26,10,4,6,0.4
B07N2LSXR9,10,4,6,0.4
B07V6F1TK2,10,4,6,0.4
B084SKBX3M,10,4,6,0.4
B08BL85TKP,10,4,6,0.4
B00I3LSLW2,10,3,7,0.3
B00PM5QEX0,10,3,7,0.3
B00W4X8U26,10,3,7,0.3
B01JLDWKJA,10,3,7,0.3
B06XHJ7VDQ,10,3,7,0.3
B076VQL2Y9,10,3,7,0.3
B07BQMJBSL,10,3,7,0.3
B07T96KT58,10,3,7,0.3
B083BDVS36,10,3,7,0.3
B00023J4AW,10,2,8,0.2
B00K8ODW6M,10,2,8,0.2
B01CL6LGFS,10,2,8,0.2
B07CT88DYS,10,2,8,0.2
B07LD4RN1Y,10,2,8,0.2
B07TK15BQQ,10,2,8,0.2
B08BRF1V19,10,2,8,0.2
B08MMYXYFJ,10,2,8,0.2
B01GDRHBQ4,10,1,9,0.1
B07CPHJSW8,10,1,9,0.1
B07H3BD7ZG,10,1,9,0.1
B07HKNYDKD,10,1,9,0.1
B07SKGKJ22,10,1,9,0.1
B07YJKCNGM,10,1,9,0.1
B00KL0HV56,9,8,1,0.8888888888888888
B000PKKAGO,9,7,2,0.7777777777777778
B001CE31XQ,9,7,2,0.7777777777777778
B08X75R4JL,9,7,2,0.7777777777777778
B001O1M6II,9,6,3,0.6666666666666666
B007MRORWQ,9,6,3,0.6666666666666666
B00FCCFVTQ,9,6,3,0.6666666666666666
B00GGLJ2KQ,9,6,3,0.6666666666666666
B00H9BLZP2,9,6,3,0.6666666666666666
B00JWWTIIM,9,6,3,0.6666666666666666
B07D6SWYV4,9,6,3,0.6666666666666666
B08NFJ2GGT,9,6,3,0.6666666666666666
B0087ZJTY8,9,5,4,0.5555555555555556
B00MXHLDRC,9,5,4,0.5555555555555556
B00PKIE760,9,5,4,0.5555555555555556
B00UFVS0G0,9,5,4,0.5555555555555556
B013QBNX58,9,5,4,0.5555555555555556
B019N8VNBO,9,5,4,0.5555555555555556
B075MTGSSM,9,5,4,0.5555555555555556
B07RQYT93N,9,5,4,0.5555555555555556
B07YFWS1Y3,9,5,4,0.5555555555555556
B082BM7546,9,5,4,0.5555555555555556
B087BC7GPT,9,5,4,0.5555555555555556
B08DXW3RV8,9,5,4,0.5555555555555556
B005DJIEFQ,9,4,5,0.4444444444444444
B00IG0677G,9,4,5,0.4444444444444444
B00U4O3YHI,9,4,5,0.4444444444444444
B012RK4G00,9,4,5,0.4444444444444444
B01AONIWZM,9,4,5,0.4444444444444444
B01BZBE2VU,9,4,5,0.4444444444444444
B01DP8QD22,9,4,5,0.4444444444444444
B01HTO9T2Y,9,4,5,0.4444444444444444
B0788HNCNR,9,4,5,0.4444444444444444
B07N4BT9LL,9,4,5,0.4444444444444444
B07YVLTGRM,9,4,5,0.4444444444444444
B083W38T38,9,4,5,0.4444444444444444
B004UTSRNY,9,3,6,0.3333333333333333
B00C9J08MU,9,3,6,0.3333333333333333
B00NO6H53W,9,3,6,0.3333333333333333
B017FYTGHQ,9,3,6,0.3333333333333333
B01LBESKBO,9,3,6,0.3333333333333333
B01M655RA6,9,3,6,0.3333333333333333
B01M8MNCHU,9,3,6,0.3333333333333333
B01N3JPJKM,9,3,6,0.3333333333333333
B0732SGQ7M,9,3,6,0.3333333333333333
B073VHSN5M,9,3,6,0.3333333333333333
B074Q2GR3F,9,3,6,0.3333333333333333
B0769VLLW6,9,3,6,0.3333333333333333
B076XWKY24,9,3,6,0.3333333333333333
B07G23R7ZX,9,3,6,0.3333333333333333
B07L4SGB1J,9,3,6,0.3333333333333333
B07QNXT75B,9,3,6,0.3333333333333333
B08GBP2XKL,9,3,6,0.3333333333333333
B08LZSHQCF,9,3,6,0.3333333333333333
B002RPHB0S,9,2,7,0.2222222222222222
B00F6IFLA0,9,2,7,0.2222222222222222
B00KS4KYRW,9,2,7,0.2222222222222222
B00SH5WGNE,9,2,7,0.2222222222222222
B00Y3U0TBS,9,2,7,0.2222222222222222
B01F97QDW2,9,2,7,0.2222222222222222
B01G45RD9U,9,2,7,0.2222222222222222
B01IBUFQJK,9,2,7,0.2222222222222222
B07D6V9J9D,9,2,7,0.2222222222222222
B07HZ7T1SZ,9,2,7,0.2222222222222222
B07MW4WSSS,9,2,7,0.2222222222222222
B07PWJRXZY,9,2,7,0.2222222222222222
B07RHL64VV,9,2,7,0.2222222222222222
B081G86V1K,9,2,7,0.2222222222222222
B002GDKPUY,9,1,8,0.1111111111111111
B007GQLXJI,9,1,8,0.1111111111111111
B009A2YIWU,9,1,8,0.1111111111111111
B00JKTU0V6,9,1,8,0.1111111111111111
B00JZCXKUQ,9,1,8,0.1111111111111111
B00SG1JXS0,9,1,8,0.1111111111111111
B00UCMO2U0,9,1,8,0.1111111111111111
B07DJ63S55,9,1,8,0.1111111111111111
B07QY8V5XT,9,1,8,0.1111111111111111
B07WH7675C,9,1,8,0.1111111111111111
B08GYMYS2S,9,1,8,0.1111111111111111
B08JCX52M9,9,1,8,0.1111111111111111
B08XWMC536,9,1,8,0.1111111111111111
B09D284YRR,9,1,8,0.1111111111111111
B01CILZXWI,9,0,9,0.0
B0713WDNK4,9,0,9,0.0
B07Q7FXWCY,9,0,9,0.0
B01HIW5BG0,8,8,0,1.0
B001B68ZHW,8,6,2,0.75
B00NK65R5O,8,6,2,0.75
B01CYTUXHO,8,6,2,0.75
B01DX9HUP2,8,6,2,0.75
B01I5MFUZ4,8,6,2,0.75
B01NB8JP21,8,6,2,0.75
B07H23KW68,8,6,2,0.75
B087G54FLM,8,6,2,0.75
B005V3AV5U,8,5,3,0.625
B006YCVLZQ,8,5,3,0.625
B00Q1BNG6C,8,5,3,0.625
B00UEWIHLS,8,5,3,0.625
B00XP86KXU,8,5,3,0.625
B017JO1TXQ,8,5,3,0.625
B01L0GF35Y,8,5,3,0.625
B0796TH5CG,8,5,3,0.625
B07D7J6H27,8,5,3,0.625
B000V5F2NO,8,4,4,0.5
B004GHIEZQ,8,4,4,0.5
B007QG7G3U,8,4,4,0.5
B0093EQX6Y,8,4,4,0.5
B00GDKBUDM,8,4,4,0.5
B00N2DNLV2,8,4,4,0.5
B010B5ZE4U,8,4,4,0.5
B01CF2W436,8,4,4,0.5
B01GVR17ZC,8,4,4,0.5
B01KUXDRQ0,8,4,4,0.5
B01M5LHNKP,8,4,4,0.5
B074XKBR2Q,8,4,4,0.5
B0753JC12P,8,4,4,0.5
B079J49XFM,8,4,4,0.5
B07L3TSB2L,8,4,4,0.5
B07QC6GX5M,8,4,4,0.5
B07RNMZ7C2,8,4,4,0.5
B08DJ24295,8,4,4,0.5
B08H5WS167,8,4,4,0.5
B09KFD6ZMQ,8,4,4,0.5
B003HOXOSQ,8,3,5,0.375
B007Y54ABE,8,3,5,0.375
B008PTIRS0,8,3,5,0.375
B00FW6JXNM,8,3,5,0.375
B00NPX8QVE,8,3,5,0.375
B00TUPJQUG,8,3,5,0.375
B00WAOH7NW,8,3,5,0.375
B01448SZ0U,8,3,5,0.375
B017M402PO,8,3,5,0.375
B018K6GHZC,8,3,5,0.375
B01FL5VD9U,8,3,5,0.375
B01N7XE0A4,8,3,5,0.375
B07CJLJZG9,8,3,5,0.375
B07CNL2KQP,8,3,5,0.375
B07FV731Q6,8,3,5,0.375
B07GVNCSS6,8,3,5,0.375
B07JJSKZVK,8,3,5,0.375
B07K1KFDLB,8,3,5,0.375
B07K3QD4Y7,8,3,5,0.375
B07XPN6V4M,8,3,5,0.375
B07XY3DZM6,8,3,5,0.375
B0815Y3L6V,8,3,5,0.375
B082QWWXV6,8,3,5,0.375
B0848VJ18X,8,3,5,0.375
B08P46JDHJ,8,3,5,0.375
B08RD3LY6X,8,3,5,0.375
B08TCBP8HV,8,3,5,0.375
B0002SGSNI,8,2,6,0.25
B006GDB518,8,2,6,0.25
B008J1H6TK,8,2,6,0.25
B00EO5JV48,8,2,6,0.25
B00TP1IZDE,8,2,6,0.25
B013VZRLB6,8,2,6,0.25
B018T2SNCW,8,2,6,0.25
B01HOWE386,8,2,6,0.25
B01I24RDRI,8,2,6,0.25
B01LXQTVNE,8,2,6,0.25
B01N6KIO7Z,8,2,6,0.25
B01NAYZICQ,8,2,6,0.25
B07G8VCSLZ,8,2,6,0.25
B07H3GBS31,8,2,6,0.25
B07K6VJFQH,8,2,6,0.25
B07KFGWC8S,8,2,6,0.25
B07KFNQ33H,8,2,6,0.25
B07Q72QVF9,8,2,6,0.25
B07Z82BJNP,8,2,6,0.25
B087P5DN6R,8,2,6,0.25
B088SZDGXG,8,2,6,0.25
B0BNWXRQ18,8,2,6,0.25
B001V9V71U,8,1,7,0.125
B00EO70DPC,8,1,7,0.125
B010TQC4R6,8,1,7,0.125
B014P8G0SS,8,1,7,0.125
B01B9FZO5U,8,1,7,0.125
B01LW55HJ7,8,1,7,0.125
B075BSW8T6,8,1,7,0.125
B07HZ4CW7F,8,1,7,0.125
B07MX93K3Z,8,1,7,0.125
B07Q82VGTV,8,1,7,0.125
B07SZHBDNJ,8,1,7,0.125
B07XFB6WTR,8,1,7,0.125
B07ZVH5HX4,8,1,7,0.125
B083NNHR35,8,1,7,0.125
B085RB4K7T,8,1,7,0.125
B08F2LL8BD,8,1,7,0.125
B08F591JFC,8,1,7,0.125
B00VKEPCBC,8,0,8,0.0
B078VNNN2H,8,0,8,0.0
B07QQSHDDY,8,0,8,0.0
B002D4IBFM,7,7,0,1.0
B00MQ6BE92,7,7,0,1.0
B00O3ILA5Y,7,7,0,1.0
B01GSKXBAQ,7,7,0,1.0
B00OXDWFG2,7,6,1,0.8571428571428571
B017AGMC3O,7,6,1,0.8571428571428571
B0009MFUO0,7,5,2,0.7142857142857143
B000FED5D0,7,5,2,0.7142857142857143
B00A7KLMOG,7,5,2,0.7142857142857143
B00AM15K16,7,5,2,0.7142857142857143
B00H3WGN9K,7,5,2,0.7142857142857143
B011EXDBAM,7,5,2,0.7142857142857143
B06XKS989B,7,5,2,0.7142857142857143
B077YR59ZR,7,5,2,0.7142857142857143
B079F67V9B,7,5,2,0.7142857142857143
B07BS2BSVJ,7,5,2,0.7142857142857143
B08D9JY2Z1,7,5,2,0.7142857142857143
B0006O028U,7,4,3,0.5714285714285714
B000LLYFUE,7,4,3,0.5714285714285714
B00186MJ18,7,4,3,0.5714285714285714
B0037H43SI,7,4,3,0.5714285714285714
B007WFZ0XI,7,4,3,0.5714285714285714
B008O0ZTPO,7,4,3,0.5714285714285714
B00BN3FYAE,7,4,3,0.5714285714285714
B00C780KZI,7,4,3,0.5714285714285714
B00ECBX7SK,7,4,3,0.5714285714285714
B00F029PWC,7,4,3,0.5714285714285714
B00HLWOHFE,7,4,3,0.5714285714285714
B00I3VRV82,7,4,3,0.5714285714285714
B00PXYOH9S,7,4,3,0.5714285714285714
B00T4JR96Q,7,4,3,0.5714285714285714
B0176WBILO,7,4,3,0.5714285714285714
B01CVQALFE,7,4,3,0.5714285714285714
B01I29HKJY,7,4,3,0.5714285714285714
B01LZY0HO3,7,4,3,0.5714285714285714
B01MTQW0BK,7,4,3,0.5714285714285714
B071G8TLZM,7,4,3,0.5714285714285714
B07DT5FHY4,7,4,3,0.5714285714285714
B07G4PPF37,7,4,3,0.5714285714285714
B07G7LPY5C,7,4,3,0.5714285714285714
B07T2L6JQR,7,4,3,0.5714285714285714
B07W843VGZ,7,4,3,0.5714285714285714
B07WJR4NC4,7,4,3,0.5714285714285714
B08CNDL4CZ,7,4,3,0.5714285714285714
B08D861M2V,7,4,3,0.5714285714285714
B08JCQDN6N,7,4,3,0.5714285714285714
B08Q76S3MS,7,4,3,0.5714285714285714
B000NY66DS,7,3,4,0.42857142857142855
B005X5SHJS,7,3,4,0.42857142857142855
